Country,Revenue,Orders,Customers
United Kingdom,16823804.706,36202,5336
EIRE,634892.53,598,5
Netherlands,549773.41,216,22
Germany,383419.241,757,107
France,311543.02,602,95
Australia,167800.01,89,15
Spain,97994.5,147,41
Switzerland,94024.59,85,22
Sweden,86319.14,99,19
Denmark,67422.69,42,12
Belgium,56993.17,143,29
Portugal,47455.99,86,24
Channel Islands,44330.33,54,13
Japan,43023.91,33,10
Norway,38575.36,39,12
Italy,28977.170000000002,60,17
Finland,25243.34,55,14
Cyprus,24484.260000000002,35,11
Austria,20297.010000000002,40,13
Greece,18711.19,18,5
Hong Kong,13666.45,9,0
Singapore,13158.16,8,1
Israel,11328.81,10,4
Unspecified,10927.16,24,6
United Arab Emirates,10273.23,12,4
Poland,10214.29,28,6
USA,7920.01,16,8
Iceland,4921.53,8,1
Lithuania,4892.68,6,1
Malta,4757.34,7,2
Canada,4332.1,7,5
RSA,3369.03,3,2
Bahrain,3109.79,10,2
Thailand,3070.54,2,1
Lebanon,1905.58,2,1
Brazil,1411.8700000000001,2,2
Bermuda,1253.1399999999999,1,0
European Community,1159.25,3,1
Korea,1118.51,2,2
Czech Republic,786.74,2,1
West Indies,536.41,1,1
Saudi Arabia,145.92000000000002,1,1
Nigeria,140.39,2,1
