StockCode,Description,Revenue
22423,REGENCY CAKESTAND 3 TIER,330590.32
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
47566,PARTY BUNTING,148318.28
85099B,JUMBO BAG RED RETROSPOT,145961.83
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49
22086,PAPER CHAIN KIT 50'S CHRISTMAS,117760.29000000001
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001
79321,CHILLI LIGHTS,80540.88
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4
85099F,JUMBO BAG STRAWBERRY,67985.77
23084,RABBIT NIGHT LIGHT,66870.03
21137,BLACK RECORD COVER FRAME,65189.29
21931,JUMBO STORAGE BAG SUKI,61537.55
21621,VINTAGE UNION JACK BUNTING,60286.04
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14
85099C,JUMBO  BAG BAROQUE BLACK WHITE,59057.61
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.700000000004
22112,CHOCOLATE HOT WATER BOTTLE,57981.94
15056N,EDWARDIAN PARASOL NATURAL,57975.450000000004
