Month,KPI,Value
2009-12,GrossRevenue,798619.53
2010-01,GrossRevenue,621413.432
2010-02,GrossRevenue,538126.696
2010-03,GrossRevenue,762148.531
2010-04,GrossRevenue,646801.562
2010-05,GrossRevenue,643835.64
2010-06,GrossRevenue,697768.48
2010-07,GrossRevenue,633836.06
2010-08,GrossRevenue,674842.89
2010-09,GrossRevenue,869727.161
2010-10,GrossRevenue,1095410.27
2010-11,GrossRevenue,1431086.602
2010-12,GrossRevenue,776314.95
2011-01,GrossRevenue,670639.46
2011-02,GrossRevenue,508074.96
2011-03,GrossRevenue,690552.36
2011-04,GrossRevenue,515866.371
2011-05,GrossRevenue,740449.3
2011-06,GrossRevenue,738233.99
2011-07,GrossRevenue,688734.371
2011-08,GrossRevenue,735770.22
2011-09,GrossRevenue,1029238.801
2011-10,GrossRevenue,1104030.92
2011-11,GrossRevenue,1453265.98
2011-12,GrossRevenue,614695.96
2009-12,Orders,1667.0
2010-01,Orders,1085.0
2010-02,Orders,1189.0
2010-03,Orders,1647.0
2010-04,Orders,1435.0
2010-05,Orders,1484.0
2010-06,Orders,1615.0
2010-07,Orders,1509.0
2010-08,Orders,1402.0
2010-09,Orders,1789.0
2010-10,Orders,2244.0
2010-11,Orders,2721.0
2010-12,Orders,1551.0
2011-01,Orders,1081.0
2011-02,Orders,1093.0
2011-03,Orders,1440.0
2011-04,Orders,1235.0
2011-05,Orders,1668.0
2011-06,Orders,1525.0
2011-07,Orders,1453.0
2011-08,Orders,1342.0
2011-09,Orders,1819.0
2011-10,Orders,2005.0
2011-11,Orders,2751.0
2011-12,Orders,816.0
2009-12,UnitsSold,425237.0
2010-01,UnitsSold,390456.0
2010-02,UnitsSold,381631.0
2010-03,UnitsSold,525054.0
2010-04,UnitsSold,366079.0
2010-05,UnitsSold,395447.0
2010-06,UnitsSold,406233.0
2010-07,UnitsSold,337572.0
2010-08,UnitsSold,471952.0
2010-09,UnitsSold,583378.0
2010-10,UnitsSold,619531.0
2010-11,UnitsSold,724287.0
2010-12,UnitsSold,357541.0
2011-01,UnitsSold,386745.0
2011-02,UnitsSold,282633.0
2011-03,UnitsSold,376186.0
2011-04,UnitsSold,307663.0
2011-05,UnitsSold,394660.0
2011-06,UnitsSold,388141.0
2011-07,UnitsSold,399281.0
2011-08,UnitsSold,420710.0
2011-09,UnitsSold,568718.0
2011-10,UnitsSold,619612.0
2011-11,UnitsSold,746975.0
2011-12,UnitsSold,312651.0
2009-12,ActiveCustomers,952.0
2010-01,ActiveCustomers,717.0
2010-02,ActiveCustomers,771.0
2010-03,ActiveCustomers,1051.0
2010-04,ActiveCustomers,939.0
2010-05,ActiveCustomers,965.0
2010-06,ActiveCustomers,1035.0
2010-07,ActiveCustomers,925.0
2010-08,ActiveCustomers,910.0
2010-09,ActiveCustomers,1136.0
2010-10,ActiveCustomers,1492.0
2010-11,ActiveCustomers,1606.0
2010-12,ActiveCustomers,884.0
2011-01,ActiveCustomers,739.0
2011-02,ActiveCustomers,757.0
2011-03,ActiveCustomers,973.0
2011-04,ActiveCustomers,853.0
2011-05,ActiveCustomers,1054.0
2011-06,ActiveCustomers,990.0
2011-07,ActiveCustomers,946.0
2011-08,ActiveCustomers,933.0
2011-09,ActiveCustomers,1259.0
2011-10,ActiveCustomers,1361.0
2011-11,ActiveCustomers,1660.0
2011-12,ActiveCustomers,614.0
2009-12,AOV,479.0759028194361
2010-01,AOV,572.7312737327189
2010-02,AOV,452.58763330529854
2010-03,AOV,462.7495634486946
2010-04,AOV,450.73279581881536
2010-05,AOV,433.8515094339623
2010-06,AOV,432.054786377709
2010-07,AOV,420.03715043074885
2010-08,AOV,481.3430028530671
2010-09,AOV,486.1526892118502
2010-10,AOV,488.15074420677365
2010-11,AOV,525.9414193311283
2010-12,AOV,500.52543520309473
2011-01,AOV,620.3880296022202
2011-02,AOV,464.84442817932296
2011-03,AOV,479.55025
2011-04,AOV,417.705563562753
2011-05,AOV,443.91444844124703
2011-06,AOV,484.087862295082
2011-07,AOV,474.0085141087405
2011-08,AOV,548.2639493293591
2011-09,AOV,565.826718526663
2011-10,AOV,550.6388628428928
2011-11,AOV,528.2682588149763
2011-12,AOV,753.3038725490196
2009-12,RevenuePerCustomer,838.8860609243698
2010-01,RevenuePerCustomer,866.68540027894
2010-02,RevenuePerCustomer,697.9593981841764
2010-03,RevenuePerCustomer,725.1651103710751
2010-04,RevenuePerCustomer,688.8195548455805
2010-05,RevenuePerCustomer,667.1871917098446
2010-06,RevenuePerCustomer,674.1724444444444
2010-07,RevenuePerCustomer,685.2281729729731
2010-08,RevenuePerCustomer,741.5855934065934
2010-09,RevenuePerCustomer,765.6048952464788
2010-10,RevenuePerCustomer,734.189189008043
2010-11,RevenuePerCustomer,891.0875479452054
2010-12,RevenuePerCustomer,878.1843325791855
2011-01,RevenuePerCustomer,907.4958863328824
2011-02,RevenuePerCustomer,671.169035667107
2011-03,RevenuePerCustomer,709.7146557040082
2011-04,RevenuePerCustomer,604.7671406799531
2011-05,RevenuePerCustomer,702.5135673624288
2011-06,RevenuePerCustomer,745.690898989899
2011-07,RevenuePerCustomer,728.0490179704018
2011-08,RevenuePerCustomer,788.6068810289389
2011-09,RevenuePerCustomer,817.5050047656871
2011-10,RevenuePerCustomer,811.1909772226304
2011-11,RevenuePerCustomer,875.4614337349398
2011-12,RevenuePerCustomer,1001.1334853420196
2009-12,ItemsPerOrder,255.09118176364728
2010-01,ItemsPerOrder,359.8672811059908
2010-02,ItemsPerOrder,320.9680403700589
2010-03,ItemsPerOrder,318.7941712204008
2010-04,ItemsPerOrder,255.10731707317072
2010-05,ItemsPerOrder,266.4737196765499
2010-06,ItemsPerOrder,251.5374613003096
2010-07,ItemsPerOrder,223.70576540755468
2010-08,ItemsPerOrder,336.6276747503566
