InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
566606,85099B,JUMBO BAG RED RETROSPOT,16,2025-02-02 13:59:30,1.87,12450.0,United Kingdom
561186,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2025-10-10 11:40:46,2.8,15009.0,France
543036,22423,REGENCY CAKESTAND 3 TIER,16,2025-08-27 15:58:55,12.75,15419.0,Netherlands
569857,20725,LUNCH BAG RED RETROSPOT,4,2025-06-10 01:12:57,1.82,,EIRE
569750,85099B,JUMBO BAG RED RETROSPOT,6,2025-06-08 14:49:02,2.08,15433.0,United Kingdom
537393,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2025-11-10 10:56:46,2.8,13129.0,United Kingdom
536872,22423,REGENCY CAKESTAND 3 TIER,13,2025-02-01 00:51:24,12.75,14200.0,Netherlands
544327,POST,POSTAGE,14,2025-09-12 19:12:34,18.0,14662.0,Netherlands
C562995,85099B,JUMBO BAG RED RETROSPOT,-6,2025-03-15 03:38:32,2.08,17903.0,United Kingdom
556323,85099B,JUMBO BAG RED RETROSPOT,8,2025-02-04 14:11:44,2.08,15195.0,Germany
553428,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2025-07-12 20:24:20,2.3,15809.0,United Kingdom
550116,22423,REGENCY CAKESTAND 3 TIER,15,2025-12-23 22:05:48,12.75,16413.0,United Kingdom
552308,20725,LUNCH BAG RED RETROSPOT,6,2025-09-26 15:04:35,1.82,,United Kingdom
557676,20725,LUNCH BAG RED RETROSPOT,10,2025-10-05 17:11:46,1.48,17786.0,United Kingdom
538168,85099B,JUMBO BAG RED RETROSPOT,4,2025-09-19 14:02:07,2.29,16049.0,United Kingdom
555937,POST,POSTAGE,16,2025-10-14 18:39:47,19.8,17089.0,EIRE
543508,85099B,JUMBO BAG RED RETROSPOT,17,2025-07-07 23:25:18,1.87,16495.0,United Kingdom
562791,20725,LUNCH BAG RED RETROSPOT,15,2025-02-16 11:00:07,1.65,15729.0,United Kingdom
542643,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2025-11-03 09:54:42,2.55,12185.0,United Kingdom
538410,85099B,JUMBO BAG RED RETROSPOT,15,2025-06-14 04:09:46,2.08,15501.0,United Kingdom
550780,20725,LUNCH BAG RED RETROSPOT,16,2025-07-02 23:30:14,1.65,12777.0,United Kingdom
550980,POST,POSTAGE,9,2025-05-16 21:53:32,16.2,15619.0,Germany
553630,20725,LUNCH BAG RED RETROSPOT,4,2025-03-08 16:57:01,1.65,16208.0,United Kingdom
565241,21977,PACK OF 60 PINK PAISLEY CAKE CASES,19,2025-12-05 15:49:14,0.5,15271.0,Germany
559794,20725,LUNCH BAG RED RETROSPOT,1,2025-10-13 04:54:47,1.65,13850.0,Netherlands
548333,20725,LUNCH BAG RED RETROSPOT,8,2025-08-24 21:49:38,1.82,12356.0,United Kingdom
560704,22423,REGENCY CAKESTAND 3 TIER,14,2025-05-27 01:23:30,14.02,16026.0,Netherlands
553128,85099B,JUMBO BAG RED RETROSPOT,16,2025-10-28 14:49:13,1.87,16189.0,Spain
543607,21977,PACK OF 60 PINK PAISLEY CAKE CASES,14,2025-07-19 06:05:05,0.55,14867.0,EIRE
536733,21977,PACK OF 60 PINK PAISLEY CAKE CASES,10,2025-06-11 10:54:27,0.5,16298.0,Germany
536135,POST,POSTAGE,18,2025-06-14 02:16:59,16.2,16674.0,Germany
543621,85099B,JUMBO BAG RED RETROSPOT,5,2025-03-24 03:14:01,2.08,15074.0,Germany
563848,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2025-02-03 09:02:48,2.55,12286.0,France
551764,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2025-07-22 09:32:41,2.55,17222.0,United Kingdom
551359,20725,LUNCH BAG RED RETROSPOT,7,2025-11-21 21:09:28,1.48,14800.0,Netherlands
549564,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2025-01-24 14:20:28,2.3,16034.0,Germany
544702,20725,LUNCH BAG RED RETROSPOT,9,2025-11-10 00:45:03,1.65,17465.0,EIRE
560298,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2025-10-30 22:20:18,2.3,14175.0,United Kingdom
536434,85099B,JUMBO BAG RED RETROSPOT,19,2025-04-12 14:39:00,1.87,15731.0,United Kingdom
556803,20725,LUNCH BAG RED RETROSPOT,8,2025-08-19 19:54:12,1.82,12118.0,United Kingdom
567855,85099B,JUMBO BAG RED RETROSPOT,13,2025-03-02 22:10:39,2.08,,United Kingdom
565929,20725,LUNCH BAG RED RETROSPOT,4,2025-10-04 12:18:55,1.82,12354.0,United Kingdom
548556,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2025-09-13 04:18:10,2.55,15246.0,United Kingdom
565062,85099B,JUMBO BAG RED RETROSPOT,19,2025-05-10 10:45:06,2.08,14110.0,United Kingdom
544079,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2025-01-25 16:28:52,0.55,12214.0,United Kingdom
544201,POST,POSTAGE,13,2025-12-21 00:47:54,19.8,14772.0,United Kingdom
547678,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2025-06-12 22:42:19,2.55,17613.0,Netherlands
536599,22423,REGENCY CAKESTAND 3 TIER,4,2025-11-22 08:25:42,12.75,13001.0,United Kingdom
545030,21977,PACK OF 60 PINK PAISLEY CAKE CASES,15,2025-09-05 15:49:54,0.61,13753.0,United Kingdom
565052,POST,POSTAGE,15,2025-10-12 23:33:05,18.0,13135.0,United Kingdom
561920,20725,LUNCH BAG RED RETROSPOT,17,2025-10-05 20:46:07,1.82,,United Kingdom
547190,20725,LUNCH BAG RED RETROSPOT,12,2025-03-13 17:47:04,1.65,,United Kingdom
546623,85099B,JUMBO BAG RED RETROSPOT,14,2025-05-13 07:10:13,2.08,15431.0,Germany
547801,21977,PACK OF 60 PINK PAISLEY CAKE CASES,14,2025-06-20 12:35:38,0.61,16683.0,Netherlands
540044,20725,LUNCH BAG RED RETROSPOT,15,2025-07-01 12:02:02,1.65,16141.0,United Kingdom
541385,20725,LUNCH BAG RED RETROSPOT,12,2025-01-16 20:41:42,1.82,16627.0,France
569752,20725,LUNCH BAG RED RETROSPOT,15,2025-07-19 00:57:17,1.82,,United Kingdom
559562,20725,LUNCH BAG RED RETROSPOT,2,2025-02-26 00:33:12,1.65,14297.0,United Kingdom
559036,20725,LUNCH BAG RED RETROSPOT,12,2025-09-29 02:50:12,1.48,17401.0,United Kingdom
545523,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2025-09-07 22:58:58,2.3,13034.0,United Kingdom
565102,22423,REGENCY CAKESTAND 3 TIER,8,2025-12-03 12:58:21,12.75,16198.0,Germany
542009,POST,POSTAGE,15,2025-09-29 16:47:31,19.8,12665.0,France
568935,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,2025-05-14 02:16:05,0.61,16593.0,France
553115,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2025-12-20 00:19:10,2.3,,United Kingdom
547247,85099B,JUMBO BAG RED RETROSPOT,5,2025-05-30 15:36:20,1.87,13297.0,Germany
561514,21977,PACK OF 60 PINK PAISLEY CAKE CASES,15,2025-04-29 16:55:57,0.55,14347.0,United Kingdom
550184,20725,LUNCH BAG RED RETROSPOT,15,2025-11-27 10:15:09,1.65,16166.0,United Kingdom
545166,20725,LUNCH BAG RED RETROSPOT,1,2025-05-16 01:59:42,1.65,12273.0,United Kingdom
559243,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2025-01-28 11:45:05,2.3,13544.0,Germany
560549,85099B,JUMBO BAG RED RETROSPOT,16,2025-06-21 15:21:01,1.87,14001.0,Netherlands
556511,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2025-10-18 05:07:24,2.55,16386.0,United Kingdom
551707,POST,POSTAGE,9,2025-03-11 07:13:16,18.0,17769.0,Germany
547179,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2025-06-18 17:55:15,2.8,15685.0,France
549728,21977,PACK OF 60 PINK PAISLEY CAKE CASES,14,2025-02-17 05:05:24,0.55,15045.0,EIRE
565728,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2025-09-08 02:22:47,0.55,14017.0,United Kingdom
548223,21977,PACK OF 60 PINK PAISLEY CAKE CASES,6,2025-06-23 15:04:26,0.61,16935.0,Germany
C568884,21977,PACK OF 60 PINK PAISLEY CAKE CASES,-10,2025-05-01 00:33:20,0.55,12643.0,France
540949,20725,LUNCH BAG RED RETROSPOT,15,2025-03-24 10:25:01,1.48,12775.0,Spain
541532,21977,PACK OF 60 PINK PAISLEY CAKE CASES,10,2025-07-26 13:40:10,0.61,13207.0,United Kingdom
C547309,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-19,2025-09-02 01:32:54,2.3,13608.0,Netherlands
536101,85099B,JUMBO BAG RED RETROSPOT,10,2025-12-10 15:40:36,2.08,14769.0,United Kingdom
565894,21977,PACK OF 60 PINK PAISLEY CAKE CASES,5,2025-06-09 19:44:10,0.5,17679.0,EIRE
547573,22423,REGENCY CAKESTAND 3 TIER,4,2025-02-28 23:21:52,12.75,15902.0,United Kingdom
539473,20725,LUNCH BAG RED RETROSPOT,15,2025-10-31 06:23:13,1.65,14301.0,United Kingdom
557030,22423,REGENCY CAKESTAND 3 TIER,9,2025-08-18 07:51:08,12.75,13269.0,United Kingdom
568582,20725,LUNCH BAG RED RETROSPOT,12,2025-09-13 14:50:13,1.65,15890.0,United Kingdom
569787,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2025-02-05 14:22:58,2.55,13518.0,United Kingdom
539654,20725,LUNCH BAG RED RETROSPOT,6,2025-04-25 14:37:28,1.65,17856.0,United Kingdom
562958,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2025-10-08 07:33:06,2.55,14866.0,United Kingdom
548309,85099B,JUMBO BAG RED RETROSPOT,6,2025-10-31 01:20:52,1.87,15304.0,United Kingdom
564431,22423,REGENCY CAKESTAND 3 TIER,19,2025-06-08 00:35:54,14.02,17420.0,France
556614,21977,PACK OF 60 PINK PAISLEY CAKE CASES,14,2025-10-21 23:56:08,0.61,13832.0,Spain
560878,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2025-11-04 09:45:09,2.55,14830.0,Germany
564486,20725,LUNCH BAG RED RETROSPOT,6,2025-05-22 10:44:37,1.48,15191.0,United Kingdom
566442,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2025-11-24 15:01:34,0.55,13626.0,United Kingdom
540881,POST,POSTAGE,1,2025-04-16 04:55:42,18.0,12327.0,Netherlands
560610,20725,LUNCH BAG RED RETROSPOT,17,2025-03-29 09:10:02,1.48,,United Kingdom
540797,21977,PACK OF 60 PINK PAISLEY CAKE CASES,17,2025-09-07 10:28:55,0.61,12674.0,United Kingdom
568093,20725,LUNCH BAG RED RETROSPOT,13,2025-08-21 02:16:41,1.65,16054.0,Netherlands
557364,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2025-02-21 14:28:24,2.55,12043.0,Netherlands
542550,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,2025-10-31 04:39:03,0.55,13898.0,United Kingdom
545953,85099B,JUMBO BAG RED RETROSPOT,15,2025-03-14 00:04:22,2.08,17305.0,Germany
566453,20725,LUNCH BAG RED RETROSPOT,10,2025-10-21 14:54:14,1.65,15411.0,United Kingdom
557913,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2025-01-03 07:12:11,2.8,16027.0,France
543795,85099B,JUMBO BAG RED RETROSPOT,1,2025-10-18 17:13:40,2.29,16011.0,United Kingdom
C563899,21977,PACK OF 60 PINK PAISLEY CAKE CASES,-10,2025-10-15 12:52:18,0.55,13789.0,United Kingdom
560422,85099B,JUMBO BAG RED RETROSPOT,14,2025-10-12 00:41:51,2.08,15793.0,Germany
538613,22423,REGENCY CAKESTAND 3 TIER,15,2025-08-31 16:40:02,11.48,13326.0,United Kingdom
545631,85099B,JUMBO BAG RED RETROSPOT,3,2025-06-22 00:58:37,1.87,15813.0,Germany
564712,20725,LUNCH BAG RED RETROSPOT,1,2025-09-15 07:31:09,1.48,16098.0,United Kingdom
547928,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2025-04-12 16:27:53,2.8,17256.0,Spain
537277,85099B,JUMBO BAG RED RETROSPOT,6,2025-10-12 09:41:37,2.29,17517.0,EIRE
556532,POST,POSTAGE,9,2025-07-22 09:14:17,16.2,12143.0,United Kingdom
566560,POST,POSTAGE,12,2025-06-17 05:18:34,18.0,13794.0,EIRE
554918,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2025-07-04 10:39:13,2.55,,United Kingdom
569171,85099B,JUMBO BAG RED RETROSPOT,18,2025-07-27 07:01:58,2.29,13929.0,United Kingdom
539880,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2025-01-14 22:42:31,2.55,15711.0,United Kingdom
558693,POST,POSTAGE,8,2025-02-21 16:29:47,16.2,17125.0,Spain
558090,85099B,JUMBO BAG RED RETROSPOT,4,2025-03-31 21:48:46,2.08,13548.0,EIRE
C569464,85099B,JUMBO BAG RED RETROSPOT,-19,2025-02-11 08:05:39,1.87,17360.0,Spain
553719,22423,REGENCY CAKESTAND 3 TIER,14,2025-06-10 22:48:01,12.75,,Spain
563947,21977,PACK OF 60 PINK PAISLEY CAKE CASES,15,2025-09-01 06:42:39,0.61,17484.0,Netherlands
540943,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2025-08-27 07:24:58,2.3,12441.0,United Kingdom
537508,20725,LUNCH BAG RED RETROSPOT,10,2025-06-21 07:09:55,1.82,13758.0,Netherlands
560360,85099B,JUMBO BAG RED RETROSPOT,4,2025-11-09 14:08:58,2.08,12744.0,Germany
